usage_type,resource_id,cost,usage_amount,tag_department,tag_project,tag_environment,region,usage_start_date,usage_end_date,billing_start_date,billing_end_date
EC2,ec2-4102,77.47,282.39,HR,Delta,Dev,ap-south-1,7/3/2025,7/3/2025 1:00,7/3/2025,7/3/2025 1:00
Lambda,lambda-1481,61.72,236.7,Marketing,Beta,Prod,us-east-1,7/10/2025,7/10/2025 1:00,7/10/2025,7/10/2025 1:00
EBS,ebs-6060,24.04,30.45,HR,Gamma,Staging,us-west-2,7/26/2025,7/26/2025 1:00,7/26/2025,7/26/2025 1:00
EBS,ebs-2540,66.27,485.52,Finance,Alpha,Dev,ap-south-1,7/10/2025,7/10/2025 1:00,7/10/2025,7/10/2025 1:00
EC2,ec2-7750,6.42,120.25,Finance,Beta,Staging,us-east-1,7/6/2025,7/6/2025 1:00,7/6/2025,7/6/2025 1:00
S3,s3-2020,55.5,3.8,Marketing,Alpha,Dev,us-east-1,7/24/2025,7/24/2025 1:00,7/24/2025,7/24/2025 1:00
Lambda,lambda-5217,45.41,373.74,DevOps,Delta,Dev,eu-central-1,7/5/2025,7/5/2025 1:00,7/5/2025,7/5/2025 1:00
RDS,rds-6628,49.91,375.03,IT,Alpha,Staging,eu-central-1,7/7/2025,7/7/2025 1:00,7/7/2025,7/7/2025 1:00
RDS,rds-4921,7.78,8.85,Marketing,Delta,Staging,eu-central-1,7/14/2025,7/14/2025 1:00,7/14/2025,7/14/2025 1:00
EBS,ebs-4082,9.49,406.15,DevOps,Gamma,Prod,us-east-1,7/1/2025,7/1/2025 1:00,7/1/2025,7/1/2025 1:00
EBS,ebs-4905,84.94,306.1,IT,Gamma,Dev,us-west-2,7/18/2025,7/18/2025 1:00,7/18/2025,7/18/2025 1:00
RDS,rds-8682,11.55,149.58,Finance,Gamma,Prod,us-west-2,7/12/2025,7/12/2025 1:00,7/12/2025,7/12/2025 1:00
Lambda,lambda-6710,11.32,65.03,DevOps,Alpha,Dev,us-east-1,7/20/2025,7/20/2025 1:00,7/20/2025,7/20/2025 1:00
Lambda,lambda-6082,95.27,403.03,DevOps,Alpha,Staging,us-east-1,7/1/2025,7/1/2025 1:00,7/1/2025,7/1/2025 1:00
EC2,ec2-7368,56.36,208.92,IT,Alpha,Prod,eu-central-1,7/3/2025,7/3/2025 1:00,7/3/2025,7/3/2025 1:00
Lambda,lambda-8803,14.21,126.27,HR,Beta,Prod,us-east-1,7/3/2025,7/3/2025 1:00,7/3/2025,7/3/2025 1:00
RDS,rds-9165,5.44,449.97,DevOps,Gamma,Dev,us-west-2,7/18/2025,7/18/2025 1:00,7/18/2025,7/18/2025 1:00
S3,s3-4194,98.4,205.86,Finance,Beta,Dev,ap-south-1,7/4/2025,7/4/2025 1:00,7/4/2025,7/4/2025 1:00
EBS,ebs-2419,11.61,324.33,Finance,Gamma,Staging,ap-south-1,7/12/2025,7/12/2025 1:00,7/12/2025,7/12/2025 1:00
RDS,rds-9387,65.55,6.63,HR,Beta,Staging,eu-central-1,7/30/2025,7/30/2025 1:00,7/30/2025,7/30/2025 1:00
